"Date (yymmdd);Data set;Measured crack length (m);Modeled crack length (m);Slab elastic modulus (Pa);Weak layer fracture energy (J m-2);RB score;Modeled failure initiation criterion;Weak layer strength (Pa);Slab thickness (m);""Observation of propagation in PST or RB (1=partial, 0=full)"";Modeled slab tensile criterion;Slab density (kg m-3);""Observation of signs of instability""",
150128;PST, SOI;0.19;0.26;6618946;0.66;NaN;696;94374;1;1;0;289;none
150128;PST, SOI;0.24;0.23;5636754;0.62;NaN;489;69948;0.95;1;0;287;none
150128;PST, SOI;0.2;0.2;4750970;0.56;NaN;406;57288;0.92;1;0;287;none
150203;PST, SOI;0.21;0.24;1771570;0.38;NaN;268;63104;0.49;1;0.07;215;none
150203;PST, SOI;0.21;0.29;1724859;0.51;NaN;213;65043;0.43;1;0.36;220;none
150203;PST, SOI;0.31;0.26;1317649;0.42;NaN;158;44971;0.44;1;0.48;194;none
150203;PST, SOI;0.29;0.24;1315520;0.38;NaN;203;69388;0.45;1;0.44;192;none
150121;PST, SOI;0.31;0.38;5169759;0.88;NaN;454;69320;0.78;1;0.28;278;none
150121;PST, SOI;0.4;0.38;5185058;0.81;NaN;529;80781;0.78;1;0.32;270;none
110323;PST, SOI;0.17;0.25;1450749;0.5;NaN;110;40721;0.35;1;0;235;all
110323;PST, SOI;0.2;0.27;2538634;0.47;NaN;197;59547;0.38;1;0;274;all
110323;PST, SOI;0.25;0.16;2971203;0.24;NaN;200;52146;0.43;1;0;286;all
110321;PST, SOI;0.17;0.2;714474;0.4;NaN;122;45575;0.36;1;0.11;173;all
110321;PST, SOI;0.24;0.25;1078725;0.52;NaN;139;53938;0.38;1;0.33;188;all
110321;PST, SOI;0.17;0.2;955728;0.37;NaN;103;34530;0.39;1;0.16;177;all
150114;PST, SOI;0.33;0.26;1994542;0.34;NaN;150;47938;0.37;1;0.26;237;none
150114;PST, SOI;0.32;0.26;1994542;0.34;NaN;150;47938;0.37;1;0.26;237;none
150114;PST, SOI;0.33;0.18;1249032;0.26;NaN;150;48938;0.37;1;0.47;229;none
150114;PST, SOI;0.32;0.21;1142792;0.27;NaN;111;42936;0.3;1;0.38;222;none
150114;PST, SOI;0.27;0.13;1027674;0.16;NaN;112;38744;0.33;1;0.29;221;none
150122;PST, SOI;0.24;0.15;2262137;0.61;NaN;375;71814;0.72;1;0.34;279;none
150122;PST, SOI;0.23;0.15;2262137;0.61;NaN;375;71814;0.72;1;0.34;279;none
